Number of Vehicles in Lane 1,Number of Vehicles in Lane 2,Number of Vehicles in Lane 3,Number of Vehicles in Lane 4,Lane 1 Traffic Flow,Lane 2 Traffic Flow,Lane 3 Traffic Flow,Lane 4 Traffic Flow,Lane 1 On Time,Lane 2 On Time,Lane 3 On Time,Lane 4 On Time,Lane 1 Saturation Flow,Lane 2 Saturation Flow,Lane 3 Saturation Flow,Lane 4 Saturation Flow,Lane 1 Flow Ratio,Lane 2 Flow Ratio,Lane 3 Flow Ratio,Lane 4 Flow Ratio,Total Flow Ratio,Optimum Cycle Time,Width of Lane 1,Width of Lane 2,Width of Lane 3,Width of Lane 4,Intergreen Period,Amber Period,Number of Phases,Initial Delay,Minimum On Time,Maximum Cycle Time,Total Time Lost
9,42,30,24,12.5,56.5,33.5,32.25,10.0,44.0,26.0,25.0,180.0,180.0,180.0,180.0,0.06944444444444445,0.3138888888888889,0.18611111111111112,0.17916666666666667,0.7486111111111111,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
7,5,24,26,11.0,10.5,26.5,41.5,10.0,10.0,13.0,21.0,180.0,180.0,180.0,180.0,0.06111111111111111,0.058333333333333334,0.14722222222222223,0.23055555555555557,0.49722222222222223,70,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
25,0,0,1,42.5,0.0,0.0,0.33,24.0,10.0,10.0,10.0,180.0,180.0,180.0,180.0,0.2361111111111111,0.0,0.0,0.0018333333333333335,0.23794444444444443,70,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
42,37,0,1,56.5,53.25,0.0,1.0,33.0,31.0,10.0,10.0,180.0,180.0,180.0,180.0,0.3138888888888889,0.29583333333333334,0.0,0.005555555555555556,0.6152777777777778,100,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,24,9,9,29.0,38.0,12.5,12.5,14.0,19.0,10.0,10.0,180.0,180.0,180.0,180.0,0.16111111111111112,0.2111111111111111,0.06944444444444445,0.06944444444444445,0.5111111111111111,70,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
12,4,3,7,14.25,4.0,2.0,11.0,11.0,10.0,10.0,14.0,180.0,180.0,180.0,180.0,0.07916666666666666,0.022222222222222223,0.011111111111111112,0.06111111111111111,0.1736111111111111,55,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
25,37,38,3,36.0,50.33,66.75,2.0,22.0,31.0,41.0,10.0,180.0,180.0,180.0,180.0,0.2,0.2796111111111111,0.37083333333333335,0.011111111111111112,0.8615555555555555,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
0,30,31,3,0.0,43.75,44.5,3.0,10.0,22.0,22.0,10.0,180.0,180.0,180.0,180.0,0.0,0.24305555555555555,0.24722222222222223,0.016666666666666666,0.5069444444444445,80,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,26,9,7,38.0,29.41,12.5,11.0,19.0,14.0,10.0,10.0,180.0,180.0,180.0,180.0,0.2111111111111111,0.1633888888888889,0.06944444444444445,0.06111111111111111,0.5050555555555556,70,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
12,38,25,1,25.25,66.75,42.5,0.33,18.0,47.0,30.0,10.0,180.0,180.0,180.0,180.0,0.14027777777777778,0.37083333333333335,0.2361111111111111,0.0018333333333333335,0.7490555555555556,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
